CMDLINE /home/mark/projects/stanford-cs336/assignment1-basics/.venv/bin/python3 save_vocab.py
MEM 162.804688 1784477433.2872
MEM 162.804688 1784477433.3898
MEM 162.804688 1784477433.4900
MEM 162.804688 1784477433.5903
MEM 162.804688 1784477433.6905
MEM 162.804688 1784477433.7907
MEM 162.804688 1784477433.8910
MEM 162.804688 1784477433.9913
MEM 162.804688 1784477434.0916
MEM 162.804688 1784477434.1919
MEM 162.804688 1784477434.2921
MEM 162.804688 1784477434.3925
MEM 162.804688 1784477434.4927
MEM 162.804688 1784477434.5930
MEM 162.804688 1784477434.6933
MEM 162.804688 1784477434.7936
MEM 162.804688 1784477434.8939
MEM 162.804688 1784477434.9942
MEM 162.804688 1784477435.0958
MEM 162.804688 1784477435.1961
MEM 162.804688 1784477435.2964
MEM 162.804688 1784477435.3967
MEM 162.804688 1784477435.4970
MEM 162.804688 1784477435.5974
MEM 162.804688 1784477435.6999
MEM 162.804688 1784477435.8002
MEM 162.804688 1784477435.9058
MEM 162.804688 1784477436.0061
MEM 162.804688 1784477436.1063
MEM 162.804688 1784477436.2066
MEM 162.804688 1784477436.3069
MEM 162.804688 1784477436.4072
MEM 162.804688 1784477436.5074
MEM 162.804688 1784477436.6077
MEM 162.804688 1784477436.7079
MEM 162.804688 1784477436.8082
MEM 162.804688 1784477436.9085
MEM 162.804688 1784477437.0088
MEM 162.808594 1784477437.1090
MEM 162.808594 1784477437.2098
MEM 162.808594 1784477437.3120
MEM 162.808594 1784477437.4127
MEM 162.808594 1784477437.5131
MEM 162.808594 1784477437.6136
MEM 162.808594 1784477437.7143
MEM 162.808594 1784477437.8178
MEM 162.808594 1784477437.9181
MEM 162.808594 1784477438.0184
MEM 162.808594 1784477438.1187
MEM 162.808594 1784477438.2190
MEM 162.808594 1784477438.3218
MEM 162.808594 1784477438.4258
MEM 162.808594 1784477438.5261
MEM 162.808594 1784477438.6263
MEM 162.808594 1784477438.7268
MEM 162.808594 1784477438.8272
MEM 162.808594 1784477438.9275
MEM 162.808594 1784477439.0277
MEM 162.808594 1784477439.1298
MEM 162.808594 1784477439.2338
MEM 162.808594 1784477439.3340
MEM 162.808594 1784477439.4349
MEM 162.808594 1784477439.5351
MEM 162.808594 1784477439.6354
MEM 162.808594 1784477439.7357
MEM 162.808594 1784477439.8361
MEM 162.808594 1784477439.9364
MEM 162.808594 1784477440.0366
MEM 162.808594 1784477440.1369
MEM 162.808594 1784477440.2372
MEM 162.808594 1784477440.3375
MEM 162.812500 1784477440.4379
MEM 166.230469 1784477440.5382
MEM 174.187500 1784477440.6385
MEM 183.910156 1784477440.7388
MEM 192.285156 1784477440.8391
MEM 196.066406 1784477440.9394
MEM 205.660156 1784477441.0396
MEM 213.769531 1784477441.1399
MEM 222.347656 1784477441.2402
MEM 233.351562 1784477441.3405
MEM 242.734375 1784477441.4408
MEM 249.433594 1784477441.5411
MEM 259.089844 1784477441.6415
MEM 260.335938 1784477441.7419
MEM 268.144531 1784477441.8421
MEM 274.027344 1784477441.9434
MEM 283.375000 1784477442.0436
MEM 294.097656 1784477442.1440
MEM 300.902344 1784477442.2443
MEM 311.894531 1784477442.3447
MEM 318.375000 1784477442.4450
MEM 324.800781 1784477442.5453
MEM 331.601562 1784477442.6458
MEM 339.410156 1784477442.7461
MEM 347.332031 1784477442.8464
MEM 354.093750 1784477442.9467
MEM 360.371094 1784477443.0471
MEM 366.261719 1784477443.1474
MEM 372.722656 1784477443.2477
MEM 378.109375 1784477443.3480
MEM 385.335938 1784477443.4483
MEM 394.335938 1784477443.5486
MEM 401.082031 1784477443.6489
MEM 406.546875 1784477443.7493
MEM 412.503906 1784477443.8496
MEM 416.859375 1784477443.9498
MEM 419.683594 1784477444.0501
MEM 425.671875 1784477444.1504
MEM 429.156250 1784477444.2508
MEM 438.867188 1784477444.3511
MEM 450.113281 1784477444.4514
MEM 458.113281 1784477444.5518
MEM 462.464844 1784477444.6521
MEM 470.691406 1784477444.7524
MEM 477.058594 1784477444.8528
MEM 483.882812 1784477444.9531
MEM 487.636719 1784477445.0534
MEM 495.968750 1784477445.1537
MEM 501.394531 1784477445.2540
MEM 506.273438 1784477445.3543
MEM 513.316406 1784477445.4547
MEM 518.812500 1784477445.5550
MEM 523.875000 1784477445.6553
MEM 531.195312 1784477445.7556
MEM 537.175781 1784477445.8559
MEM 542.164062 1784477445.9562
MEM 548.921875 1784477446.0566
MEM 553.539062 1784477446.1569
MEM 556.156250 1784477446.2572
MEM 560.503906 1784477446.3575
MEM 569.128906 1784477446.4578
MEM 575.882812 1784477446.5581
MEM 579.457031 1784477446.6584
