CMDLINE /home/mark/projects/stanford-cs336/assignment1-basics/.venv/bin/python3 save_vocab.py
MEM 154.148438 1784813005.0740
MEM 154.148438 1784813005.1778
MEM 154.148438 1784813005.2818
MEM 154.148438 1784813005.3858
MEM 155.472656 1784813005.4860
MEM 158.929688 1784813005.5863
MEM 158.929688 1784813005.6866
MEM 158.929688 1784813005.7870
MEM 158.929688 1784813005.8875
MEM 158.929688 1784813005.9929
MEM 158.929688 1784813006.0932
MEM 158.929688 1784813006.1935
MEM 158.929688 1784813006.2938
MEM 158.929688 1784813006.3941
MEM 158.929688 1784813006.4943
MEM 158.929688 1784813006.5946
MEM 158.929688 1784813006.6948
MEM 158.929688 1784813006.7951
MEM 158.929688 1784813006.8954
MEM 158.933594 1784813006.9956
MEM 158.933594 1784813007.0959
MEM 158.933594 1784813007.1978
MEM 158.933594 1784813007.3018
MEM 158.933594 1784813007.4032
MEM 158.933594 1784813007.5035
MEM 158.933594 1784813007.6039
MEM 158.933594 1784813007.7059
MEM 158.933594 1784813007.8062
MEM 158.933594 1784813007.9065
MEM 158.933594 1784813008.0110
MEM 158.933594 1784813008.1113
MEM 158.933594 1784813008.2115
MEM 158.933594 1784813008.3119
MEM 158.933594 1784813008.4121
MEM 158.933594 1784813008.5138
MEM 158.933594 1784813008.6151
MEM 158.933594 1784813008.7154
MEM 158.933594 1784813008.8178
MEM 158.933594 1784813008.9188
MEM 158.933594 1784813009.0192
MEM 158.933594 1784813009.1194
MEM 158.933594 1784813009.2197
MEM 158.933594 1784813009.3200
MEM 158.933594 1784813009.4218
MEM 158.933594 1784813009.5234
MEM 158.933594 1784813009.6237
MEM 158.933594 1784813009.7258
MEM 158.933594 1784813009.8298
MEM 158.933594 1784813009.9301
MEM 158.933594 1784813010.0338
MEM 158.933594 1784813010.1340
MEM 158.933594 1784813010.2378
MEM 158.933594 1784813010.3380
MEM 158.933594 1784813010.4383
MEM 158.933594 1784813010.5385
MEM 158.933594 1784813010.6388
MEM 158.933594 1784813010.7391
MEM 158.933594 1784813010.8393
MEM 158.933594 1784813010.9396
MEM 158.933594 1784813011.0398
MEM 158.933594 1784813011.1401
MEM 158.933594 1784813011.2405
MEM 158.933594 1784813011.3407
MEM 158.933594 1784813011.4409
MEM 158.933594 1784813011.5413
MEM 158.933594 1784813011.6417
MEM 158.933594 1784813011.7420
MEM 158.933594 1784813011.8438
MEM 158.933594 1784813011.9441
MEM 158.933594 1784813012.0444
MEM 158.933594 1784813012.1447
MEM 158.933594 1784813012.2450
MEM 158.933594 1784813012.3452
MEM 158.933594 1784813012.4455
MEM 158.933594 1784813012.5458
MEM 158.933594 1784813012.6460
MEM 158.937500 1784813012.7463
MEM 161.519531 1784813012.8498
MEM 164.480469 1784813012.9509
MEM 164.480469 1784813013.0516
MEM 164.480469 1784813013.1519
MEM 164.480469 1784813013.2523
MEM 164.480469 1784813013.3525
MEM 164.480469 1784813013.4539
MEM 164.480469 1784813013.5570
MEM 164.480469 1784813013.6573
MEM 164.480469 1784813013.7575
MEM 164.480469 1784813013.8578
MEM 164.480469 1784813013.9580
MEM 164.480469 1784813014.0583
MEM 164.480469 1784813014.1585
MEM 164.480469 1784813014.2588
MEM 164.480469 1784813014.3590
MEM 164.480469 1784813014.4619
MEM 164.480469 1784813014.5654
MEM 164.480469 1784813014.6657
MEM 164.484375 1784813014.7659
MEM 164.484375 1784813014.8662
MEM 164.484375 1784813014.9664
MEM 164.484375 1784813015.0679
MEM 164.484375 1784813015.1682
MEM 164.484375 1784813015.2685
MEM 164.484375 1784813015.3687
MEM 164.484375 1784813015.4691
MEM 164.484375 1784813015.5709
MEM 164.484375 1784813015.6711
MEM 164.484375 1784813015.7714
MEM 164.484375 1784813015.8717
MEM 164.484375 1784813015.9720
MEM 164.484375 1784813016.0722
MEM 164.484375 1784813016.1725
MEM 164.484375 1784813016.2727
MEM 164.484375 1784813016.3731
MEM 164.484375 1784813016.4733
MEM 164.484375 1784813016.5778
MEM 164.484375 1784813016.6781
MEM 164.484375 1784813016.7784
MEM 164.484375 1784813016.8786
MEM 164.484375 1784813016.9789
MEM 164.484375 1784813017.0792
MEM 164.484375 1784813017.1794
MEM 164.484375 1784813017.2798
MEM 164.484375 1784813017.3800
MEM 164.484375 1784813017.4804
MEM 164.484375 1784813017.5807
MEM 164.484375 1784813017.6810
MEM 164.484375 1784813017.7813
MEM 164.484375 1784813017.8816
MEM 164.484375 1784813017.9819
MEM 164.484375 1784813018.0821
MEM 164.484375 1784813018.1824
MEM 164.484375 1784813018.2828
MEM 164.484375 1784813018.3830
MEM 164.484375 1784813018.4833
MEM 164.484375 1784813018.5858
MEM 164.484375 1784813018.6898
MEM 164.484375 1784813018.7938
MEM 164.484375 1784813018.8979
MEM 164.484375 1784813018.9983
MEM 164.484375 1784813019.0985
MEM 164.484375 1784813019.1988
MEM 164.484375 1784813019.2992
MEM 164.484375 1784813019.3995
MEM 164.484375 1784813019.5000
MEM 164.484375 1784813019.6004
MEM 164.484375 1784813019.7007
MEM 164.484375 1784813019.8010
MEM 164.484375 1784813019.9013
MEM 164.484375 1784813020.0015
MEM 164.484375 1784813020.1018
MEM 164.484375 1784813020.2020
MEM 164.484375 1784813020.3058
MEM 164.484375 1784813020.4061
MEM 164.484375 1784813020.5079
MEM 164.484375 1784813020.6082
MEM 164.484375 1784813020.7084
MEM 164.484375 1784813020.8087
MEM 164.484375 1784813020.9090
MEM 164.484375 1784813021.0093
MEM 164.484375 1784813021.1095
MEM 164.484375 1784813021.2098
MEM 164.484375 1784813021.3100
